Queries,	Number of Overlapping Results,	Percent Overlap,	Spearman Coefficient
A two dollar bill from 1953 is worth what,	4,	40.0,	-5.2
What is franky jonas 's favorite color,	1,	10.0,	0
Is there an emergency action plan,	2,	20.0,	-31.0
How much does medical insurance cost for a single person,	4,	40.0,	-3.0
What is noah cyrus address so you can send her a fan mail,	1,	10.0,	0
Have many points did wayne getzky get,	1,	10.0,	0
How wide can vagina 's get,	2,	20.0,	-24.0
Calories in a lollipop,	2,	20.0,	0.0
Pdf password cracker v 3.1 registration key,	2,	20.0,	-24.0
Another name for karyokinesis,	2,	20.0,	-1.0
What continent you indonesia on,	3,	30.0,	0.75
Do deers live in savanna,	2,	20.0,	-4.0
What did lice cause in ww1,	2,	20.0,	-4.0
What women invented the brush,	2,	20.0,	-9.0
What is the order of electromagnetic radiation decreasing frequency,	1,	10.0,	0
New tropicana advert,	0,	0.0,	0
Where did siddartha Gautama live and teach,	2,	20.0,	-4.0
2003 GMC yukon ignition,	1,	10.0,	0
What is the value of 1928 us 50 bill,	1,	10.0,	1
Where is alpha amylase released,	2,	20.0,	-3.0
Which Band did Krauss join,	0,	0.0,	0
What is the use of fruits,	1,	10.0,	0
Where do sugar gliders like to live,	4,	40.0,	-1.1
How many championships have lakers,	1,	10.0,	1
What are china major rivers and deserts,	3,	30.0,	-11.25
What do dholes eat,	2,	20.0,	-12.0
Stereo wiring diagram for a 1991 Toyota Camry,	0,	0.0,	0
Names of divine horses on howrse,	3,	30.0,	-0.5
What is the population of teachers in the US,	4,	40.0,	-0.7
How did Fidel V Ramos campaigned,	2,	20.0,	-1.0
What are this 13 systems of human body,	3,	30.0,	-11.75
What are the Flickertail 's eating habits,	0,	0.0,	0
What kind of money does croatia have,	3,	30.0,	-9.0
What do our circulatory system includes,	2,	20.0,	-19.0
A vaccination produces what kind of immunity,	1,	10.0,	0
Where does Justin Timbelake live,	2,	20.0,	-48.0
Is corllins university a credited legal college,	0,	0.0,	0
What is a myocaridal infaraction,	3,	30.0,	-15.25
When did bobsledding first enter,	4,	40.0,	-1.7000000000000002
500 mg of cinnamon equal how many teaspoons,	1,	10.0,	0
How many religions in spain,	5,	50.0,	-1.15
How many lice did bob marly have,	6,	60.0,	-1.057142857142857
What were the domsetic consequences of world war 1,	6,	60.0,	-1.4
What is the meaning of multitasking and multiuser operating system,	1,	10.0,	0
The sun and the celestial bodies that orbit the sunincluding planets satellites asteroids comets dust and gas,	1,	10.0,	0
Tell you about vampire bats,	4,	40.0,	-4.2
Specifying categories,	2,	20.0,	-15.0
How much does a rookie card of babe ruth cost,	2,	20.0,	-44.0
So what is fair trade,	2,	20.0,	-19.0
What is the secret ingredient of coke,	3,	30.0,	-6.5
When and how did Slobodan Milosevic die,	3,	30.0,	-3.5
What do teardrop tattoos on your eyes symbolize,	3,	30.0,	-4.25
What colors can a Yorkie be,	4,	40.0,	-1.6
On neopets how can you put a code in a scroll box without the code being in the same box as another,	0,	0.0,	0
How much does it cost to rent a limo for the day in Madison WI,	0,	0.0,	0
Where is the 50 story eiffel tower located,	2,	20.0,	-3.0
What is the length of an amtrak train,	2,	20.0,	-12.0
Where to give ideas for an invention,	2,	20.0,	-24.0
You are a big fan or shakira how you can send her a letter,	0,	0.0,	0
Code to beanie babies,	1,	10.0,	1
How much is s in roman numerals,	4,	40.0,	-4.0
What is the origin of the mineral silver,	5,	50.0,	-2.0
What is the principle behind the bluetooth,	3,	30.0,	-2.5
What is transmission spectrum,	1,	10.0,	0
How many nutrons does radon have,	2,	20.0,	-36.0
What color is rihanna eyes,	3,	30.0,	-1.0
Who invented metal coil thermometer,	2,	20.0,	-25.0
How did Rome really begin,	1,	10.0,	0
What part of california do corbin live in,	2,	20.0,	-12.0
What is the instrument called that is used to measure tornado 's,	0,	0.0,	0
How does the future look on being a lawyer,	3,	30.0,	-1.0
How do you adjust brightness on your laptop,	2,	20.0,	-1.0
Whenwhere did william morris die,	2,	20.0,	-4.0
How do sanction help to keep the global community safe and secure,	1,	10.0,	0
What is the function of command xargs in linux,	3,	30.0,	-0.5
How does air pollution affect the food webs,	3,	30.0,	-4.25
What was the name of the Prime Minister in Fiji in 2009,	2,	20.0,	-4.0
What kind of meaning do proverbs have,	1,	10.0,	1
How many planet,	3,	30.0,	0.0
What is filters harmful substances from lymph,	1,	10.0,	0
How did park yong ha died,	2,	20.0,	-3.0
How did people make dresses in colonial times,	0,	0.0,	0
How many liters are in a cup of milk,	3,	30.0,	-3.75
How much does marijuana coast per ounce,	1,	10.0,	0
What is the purpose of a steak plate,	2,	20.0,	-4.0
What is the name of the four sperm cells,	1,	10.0,	0
What is the longitudes of delhi,	3,	30.0,	-0.5
How is columbia related to venezuela,	2,	20.0,	0.0
Fiona wood what is she famous for,	3,	30.0,	-0.5
What sounds does brakes make,	2,	20.0,	-19.0
What nationality are the people in germany,	2,	20.0,	-9.0
What niche do plants have,	1,	10.0,	0
How many gold medals did mia hamm earn,	3,	30.0,	-17.75
What did Roger Bannister,	5,	50.0,	-1.25
How much does a medical abortion cost at three weeks,	2,	20.0,	-3.0
What is rank 2nd in populated city,	0,	0.0,	0
What do mexicans houses look like,	1,	10.0,	0
64 millilitres how many litres,	1,	10.0,	0
You want to text dirty with your boyfriend what should you say,	1,	10.0,	0
Can you give me example of anecdotes by the filipino writers,	0,	0.0,	0
Averages,	2.04,	20.4,	-5.383571428571429
